api_name,api_code,description,latitude,longitude,weather,name,designation
Everglades National Park,ever,"Established in 1947 as the first national park created for its biodiversity, Everglades National Park protects 1.5 million acres of wetland, forest, and marine habitats and the native plants and animals that call it home. With several international designations, the park provides a major source of drinking water for local residents of South Florida and recreational opportunities for all.",25.37294225,-80.88200301,The climate in Florida is known to be mild and sunny.The average annual temperatures for South Florida and the Keys range from 74° to 77°F (23° to 25°C). There are two seasons at the Everglades National Park: the wet season and the dry season. The wet season runs from Mid-May to November and the dry season runs from December to mid-May.,,National Park
Federal Hall National Memorial,feha,"Here on Federal Hall, George Washington took the oath of office as our first President, and this site was home to the first Congress, Supreme Court, and Executive Branch offices. The current structure, a Customs House, later served as part of the US Sub-Treasury. Now, the building serves as a museum and memorial to our first President and the beginnings of the United States of America.",40.70731192,-74.01025636,http://forecast.weather.gov/MapClick.php?CityName=New+York&state=NY&site=OKX&lat=40.7198&lon=-73.993#.Vqj8OvkrJlZ,,National Memorial
Fire Island National Seashore,fiis,"Immerse yourself in an enchanting collage of coastal life and history. Rhythmic waves, high dunes, ancient maritime forests, historic landmarks and glimpses of wildlife, Fire Island has been a special place for diverse plants, animals and people for centuries. Far from the pressure of nearby big-city life, dynamic barrier island beaches offer solitude, camaraderie, and spiritual renewal.",40.69668638,-73.00013462,"Spring: Temperatures may range from high 30s to low 50s (F). Rain and sun are equally common. Summer: Temperatures usually range from 65 F to 90 F. Fall: Temperatures from 70 F in early autumn to 40 F later in the season may be expected. Winter: Temperatures in the 30s (F) are common, with below freezing temperatures possible.",,National Seashore
First Ladies National Historic Site,fila,"First Ladies National Historic Site consists of two properties in downtown Canton, Ohio - the home of First Lady Ida Saxton-McKinley and our Visitor Center. Come learn about how the position of First Lady has evolved over time to include a public role.",40.79689857,-81.37579869,The weather at First Ladies National Historic Site is typical of Northeastern Ohio: four distinct seasons. Spring's rain and warming temperatures bring new leaves on trees and blooming wildflowers. Summer temperatures range from 49 to 95 degrees F and can be humid. Fall temperatures can range from low 70s during the day to freezing during the night. Fallcolor peaks mid-October. Winter weather conditions can rapidly change. Temperatures vary from mid-30s to below zero.,,National Historic Site
First State National Historical Park,frst,"Famous as the First State to ratify the Constitution, Delaware was born out of a conflict among three world powers for dominance of the Delaware Valley. From this beginning, the region developed a distinct character that tolerated diversity in religion and national origin and valued independence.",39.83076929,-75.56353942,"For details and information, visit, http://www.nps.gov/frst/index.htm.",,National Historical Park
Flight 93 National Memorial,flni,"On Tuesday morning, September 11, 2001, the U.S. came under attack when four commercial airliners were hijacked and used to strike targets on the ground. Nearly 3,000 people tragically lost their lives. Because of the actions of the 40 passengers and crew aboard one of the planes, Flight 93, the attack on the U.S. Capitol was thwarted.",40.06061476,-78.89456905,"Fall-Winter Cooler weather starts in September with warm days and cool nights. The first snowfall of the season occurs by mid-October and extends through late March to mid-April. Daytime temperatures range in the mid-20s to 30s, with periodic warming in the 40s and 50s. The average annual snowfall is approximately 80 inches for Somerset County. Spring-Summer May is more predictable for warmer weather with daytime temperatures in the 60s and 70s. July and August are also mild with highs in the 80s-90s",,National Memorial
Florissant Fossil Beds National Monument,flfo,"Beneath a grassy mountain valley in central Colorado lies one of the richest and most diverse fossil deposits in the world. Petrified redwood stumps up to 14 feet wide and thousands of detailed fossils of insects and plants reveal the story of a very different, prehistoric Colorado.",38.91260586,-105.2803396,Winter months - average high 40 degrees F; average low 5 degrees F; Summer months - average high 75 degrees F; average low 40 degrees F;,,National Monument
Ford's Theatre National Historic Site,foth,"On April 14, 1865, President Abraham Lincoln was assassinated at Ford’s Theatre. Discover how everyday people experienced a national tragedy and how we have remembered a fallen leader. Today, in partnership with Ford’s Theatre Society, live dramatic productions highlight Lincoln’s love of the theatre and the power of stories to connect us to ourselves and our history.",38.89668819,-77.02577944,Washington DC gets to see all four seasons. Humidity will make the temps feel hotter in summer and colder in winter. Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees,,National Historic Site
Fort Bowie National Historic Site,fobo,"For nearly 25 years, Fort Bowie stood at the crossroads of the Chiricahua Apache's fight to defend their ancestral homeland and the U.S. Army's westward expansion. Today, visitors embark on a 3-mile scenic loop trail traversing the ground where this profound cultural collision forever altered the course of both American and Indigenous history.",32.14925942,-109.451132,,,National Historic Site
Fort Davis National Historic Site,foda,"Fort Davis is one of the best surviving examples of an Indian Wars' frontier military post in the Southwest. From 1854 to 1891, Fort Davis was strategically located to protect emigrants, mail coaches, and freight wagons on the Trans-Pecos portion of the San Antonio-El Paso Road and on the Chihuahua Trail.",30.59930381,-103.8961904,Summer Temperatures average a High of 95 and low of 65. Winter Temperatures average a High of 60 and a low of 20. Wind is very common and heavy rainfall is very sporadic.,,National Historic Site
Fort Donelson National Battlefield,fodo,"Brigadier General Ulysses S. Grant was becoming quite famous as he wrote these words following the surrender of Confederate Fort Donelson on Sunday, February 16, 1862. The Union victory at Fort Donelson elated the North, and stunned the South. Within days of the surrender, Clarksville and Nashville would fall into Union hands. Grant and his troops had created a pathway to victory for the Union.",36.49019078,-87.92445695,Fort Donelson National Battlefield traditionally experiences mild to moderate winters and hot summers with an average high of 90 degrees in the summer and 40 in winter; average lows in the winter are 30 degrees but single digits are not unusual. Rainfall in the area averages 53 inches a year with an additional 6 inches of ice/snow and violent thunderstorms can take place at any time of year.,,National Battlefield
Fort Dupont Park,fodu,"This 361 acre wooded park was once home to an earthen fort built to protect Washington, DC, during the Civil War. Today, visitors can see the fort's earthworks and escape to the great outdoors. Activities include picnics, nature walks, biking, gardening, environmental education, music, and ranger-led programs.",38.87731289,-76.94955824,"Open in all weather, unless otherwise noted under the alerts section of the parks website.",,
Fort Foote Park,fofo,"Fort Foote was constructed in 1863 atop Rozier's Bluff to strengthen the ring of fortifications that encircled Washington, D.C. Two of the Guns that protected Washington are still there along with the remains of the fort's earthworks.",38.76901785,-77.02812387,"Summers are generally hot and humid, with daytime highs frequently above 90 degrees Fahrenheit and scattered afternoon thunderstorms. Please carry water while participating in physical activity and be prepared to take shelter from lightning. Winters are generally cold, with nighttime lows frequently near freezing and occasional snowfall. Weather during spring and fall is generally moderate, but can change quickly.",,Park
Fort Frederica National Monument,fofr,"War was imminent as James Oglethorpe established Fort Frederica in 1736, to help protect the British colonies from the Spanish in Florida. Fort Frederica illustrates the story of the War of Jenkins Ear (1739-1748) and how its British defenders fought off the Spanish Army. Today, archeology has uncovered the story of the 1,000 people that once lived here.",31.2214699,-81.39452014,"The site enjoys mild climate from fall through early summer, followed by hot, humid summers.",,National Monument
Fort Laramie National Historic Site,fola,"Originally established as a private fur trading fort in 1834, Fort Laramie evolved into the largest and best-known military post on the Northern Plains before its abandonment in 1890. Nicknamed the “Grand Old Post,” Fort Laramie witnessed the entire sweeping saga of America’s western expansion and Indian resistance to encroachment on their territories.",42.20301694,-104.5459112,"Fort Laramie summer days can be quite hot (over 100F/37C), average highs are in the 80s and 90s (30-35C) with cool nights and low humidity. Winters are often bitterly cold and windy with subzero wind chills. The region is semi-arid with a distinct winter dry season. About 70% of annual precipitation falls as thunderstorms during the spring and early summer. Breezy days are common year-round and peak in the winter when wind speeds can approach hurricane-strength.",,National Historic Site
Fort Larned National Historic Site,fols,Discover a complete and authentic army post from the 1860s -1870s! This well-preserved fort on the Santa Fe Trail shares a tumultuous history of the Indian Wars era. The sandstone constructed buildings sheltered troops who were known as the Guardians of the Santa Fe Trail.,38.18047491,-99.21836664,"Central Kansas has a four-season climate. Winter tends to be cold and dry, with average daytime highs below 40F (4C). Foehn winds blowing across the Great Plains from the Southwest periodically raise temperatures above 80F (27C). Unsettled warmer air, higher winds, and severe weather arrive in the spring and often last through early July. Late summer days hover above 90F (32C) and readings over 100F (38C) are not uncommon. Fall is variable but generally milder with showers changing to snow and ice later.",,National Historic Site
Fort Matanzas National Monument,foma,"Fort Matanzas National Monument preserves the fortified coquina watchtower, completed in 1742, which defended the southern approach to the Spanish military settlement of St. Augustine. It also protects approximately 300 acres of Florida coastal environment containing dunes, marsh, maritime forest, and associated flora and fauna, including threatened and endangered species.",29.7121489,-81.23567535,"Summers are hot and humid with afternoon thundershowers. Sunscreen, a hat, UV protective sunglasses, and are recommended. Drink plenty of water. Winters are cool to mild with some cold spells, especially with wind from the north or off the water. Fall and spring are temperate with temperatures around 70F-80F (21C-26C). During danger of lightning, the fort will be closed and ferry service will be suspended. June-November is hurricane season so check for tropical storms before visiting.",,National Monument
Fort McHenry National Monument and Historic Shrine,fomc,"by the dawn's early light, a large red, white and blue banner? Whose broad stripes and bright stars... were so gallantly streaming...over Fort McHenry! The valiant defense of the fort during the Battle of Baltimore on September 13-14, 1814 inspired Francis Scott Key to write the words that became the U.S. national anthem. The fort's history holds many other stories too, from the Civil War to WWII.",39.26395314,-76.58044165,"Temperatures and weather in the spring and fall months tend to be mild. Ice, snow, and freezing temperatures can occur during winter. Extreme heat can occur during the summer months. Inclement weather may impact park hours of operation year round. Refer to the park alerts or call ahead to confirm operating hours.",,National Monument and Historic Shrine
Fort Monroe National Monument,fomr,"Fort Monroe's story spans from prehistory to the 2000s. Kecoughtan Indians occupied Old Point Comfort before the arrival of English colonists. The first enslaved Africans arrived in 1619. Those escaping slavery sought their freedom at the fort during the Civil War. The fort remained bastion of national defense until 2011, when it became a national park.",37.01733343,-76.30103195,"Spring: Temperatures range from 40 F to 70 F with rain being common. Summer: Temperatures range from 75 F to 100 F with rain and sun equally common. On very sunny days, be prepared with plenty of water. Fall: Temperatures usually range from 40 F to 65 F. Hurricanes are more likely to threaten the are at this time of year. If planning a visit during this time, please be mindful of the storm activity. Winter: Temperatures range from 40 F to 50 F on average with snow being uncommon.",,National Monument
Fort Necessity National Battlefield,fone,"The battle at Fort Necessity in the summer of 1754 was the opening action of the French and Indian War. This war was a clash of British, French and American Indian cultures. It ended with the removal of French power from North America. The stage was set for the American Revolution.",39.81306048,-79.59033344,"Weather varies considerably within each season. Be prepared with layered clothing. Precipitation is common throughout the year. Spring: Temperatures usually range from 25°F to 70°F. On average, May is the wettest month. Summer: Temperatures usually range from 50°F to 80°F. July is the warmest month. Fall: Temperatures usually range from 30°F to 70°F. Fall foliage is at its peak around mid-October. Winter: Temperatures range from 15°F to 40°F. January is the coldest month.",,National Battlefield
Fort Point National Historic Site,fopo,"From its vantage point overlooking the spectacular Golden Gate, Fort Point defended the San Francisco Bay following California's Gold Rush through World War II. Its beautifully arched casemates display the art of 3rd system brick masonry and interacts gracefully with the Golden Gate Bridge.",37.80837439,-122.473747,Fort Point is typically cold and windy throughout the year. Fog is especially common in the summer months. Come prepared with layers and windbreakers for maximum comfort.,,National Historic Site
Fort Pulaski National Monument,fopu,"For much of the 19th century, masonry fortifications were the United States’ main defense against overseas enemies. However, during the Civil War, new technology proved its superiority over these forts. Using rifled cannons, the U.S. Army compelled the Confederate garrison inside Fort Pulaski to surrender. The siege was a landmark experiment in the history of military science and invention.",32.0308274,-80.93361681,"Savannah has a humid sub tropical climate with over two hundred days of sunshine each year. Summers are typically hot, bright and humid with afternoon thunderstorms common. Temperatures often range from the lower 70s to the mid 90s F. Spring and autumn can be quite pleasant with temperatures ranging from the upper 50s into the 80s F. The winter months are usually dry. Temperatures can be cooler than one would expect, ranging from the upper 30s through the 60s F generally, though sudden cold snaps can occur.",,National Monument
Fort Raleigh National Historic Site,fora,"Amongst the shallow blue waters of the Outer Banks lies Fort Raleigh on Roanoke Island. Shaped by constant winds of change, Fort Raleigh has become a focal point of American history. From the first Algonquian-speaking people to the first English colonies, from formerly enslaved people starting anew to an inventor testing new radio technology, this island continues to be a place to forge new paths.",35.93278602,-75.71496865,Weather on the Outer Banks varies seasonally and daily. Please check the National Weather Service at http://www.weather.gov/mhx/ for up-to-date weather forecast information.,,National Historic Site
Fort Scott National Historic Site,fosc,"Promises made and broken! Who deserves to be free? The fight for freedom! Soldiers fighting settlers! Each of these stories is a link in the chain of events that encircled Fort Scott from 1842-1873. All of the site's structures, its parade ground, and its tallgrass prairie bear witness to this era when the country was forged from a young republic into a united transcontinental nation.",37.84358849,-94.70429174,"Spring and autumn are pleasant with mild temperatures. Summers are generally hot and humid, while winters are mild with periods of cold weather, snowfall, and ice storms. Thunderstorms, some severe, are common throughout the spring and summer. During periods of severe weather, visitors should seek shelter, as the area is prone to lightning strikes. Visitors are advised to check the weather prior to traveling.",,National Historic Site
Fort Smith National Historic Site,fosm,"Explore life on the edge of frontier and Indian Territory through the stories of soldiers, the Trail of Tears, scandals, outlaws, and lawmen who pursued them. From the establishment of the first Fort Smith on December 25, 1817, to the final days of Judge Isaac C. Parker's jurisdiction over Indian Territory in 1896, Fort Smith National Historic Site preserves almost 80 years of history.",35.38834746,-94.43129079,"Fort Smith weather includes four distinct, yet temperate seasons. Spring and fall are usually mild while late summer is hot and humid. During winter months, temperatures occasionally dip into the teens. Forecast often changes dramatically due to surrounding weather influences. Arkansas's central location allows weather systems from all directions to influence its climate. The area is prone to flash flooding and river flooding in rainy seasons.",,National Historic Site
Fort Stanwix National Monument,fost,"For centuries, the Oneida Carrying Place, a six-mile portage connecting the Mohawk River and Wood Creek, served as a vital link for those traveling by water from the ocean to the Great Lakes. When Europeans arrived, nations fought for control of the carry, the homelands of the Six Nations Confederacy, and the rich resources of North America. In this struggle, Fort Stanwix would play a vital role.",43.21053441,-75.45557626,"The Park lies within a temperate zone and experiences four full seasons. Summer can become very hot and humid. Snow is common as late as May and as early as October. The fort area can become muddy in all seasons. With most activities outdoors, good closed-toe walking shoes and low heels are advised. Air conditioning and heating is limited to park visitor center most times in the year. Water and extra layers of clothing in all seasons are always recommended!",,National Monument
Fort Sumter and Fort Moultrie National Historical Park,fosu,"Two forts stand at the entrance of Charleston Harbor. Patriots inside a palmetto log fort, later named Fort Moultrie, defeated the Royal Navy in 1776. As Charleston blazed a path towards secession to preserve slavery, construction on a new fort, Fort Sumter, proceeded. The Confederacy fired on the US garrison of Fort Sumter on April 12, 1861 opening the Civil War, which redefined American freedom.",32.75654469,-79.87068744,Mild winters. Hot and humid during the summer.,,National Historical Park
Fort Union National Monument,foun,"Exposed to the wind, within a sweeping valley of short grass prairie, and along the eroded Santa Fe Trail, lie the adobe walled ruins of the largest 19th century military fort in the region. From 1851 to 1891, Fort Union functioned as an agent of change, desired or not, in the New Mexico Territory and throughout the Southwest.",35.90700629,-105.0145185,"Fort Union is situated at 6,760 feet above sea level. Daytime temperatures between June and September may exceed 90 degrees Fahrenheit. Winter temperatures often drop below 32 degrees Fahrenheit. Temperatures may vary within 50 degrees in a 24-hour period. During the winter, it is not uncommon for the temperatures to drop below 0°F (-18°C.) During the summer, expect high temperatures, intense sunlight and extremely low humidity.",,National Monument
Fort Union Trading Post National Historic Site,fous,"Between 1828 and 1867, Fort Union was the most important fur trade post on the Upper Missouri River. Here, the Assiniboine and six other Northern Plains Tribes exchanged buffalo robes and smaller furs for goods from around the world, including cloth, guns, blankets, and beads. A bastion of peaceful coexistence, the post annually traded over 25,000 buffalo robes and $100,000 in merchandise.",48.00075828,-104.0375238,"Weather in western North Dakota can be harsh, with extremes in temperature and sudden, violent storms. Be prepared for rapidly changing conditions. Summers are warm with average high temperatures in the 80s-90s May through September. Winters are cold with average lows in the single digits December through February. Wind is considerable year-round. Conditions can change quickly. Travelers should be aware of the potential for violent thunderstorms in the summer and the possibility of blizzards.",,National Historic Site
Fort Vancouver National Historic Site,fova,"Located on the north bank of the Columbia River, in sight of snowy mountain peaks and a vibrant urban landscape, this park has a rich cultural past. From a frontier fur trading post, to a powerful military legacy, the magic of flight, and the origin of the American Pacific Northwest, history is shared at four unique sites. Discover stories of transition, settlement, conflict, and community.",45.62234841,-122.6617043,"Fort Vancouver National Historic Site is located in a mild, temperate climate. However, in the case of severe weather, park alerts posted on the park's website will provide information about emergency closures.",,National Historic Site
Fort Washington Park,fowa,"Built to defend the river approach to Washington, DC, Fort Washington has stood as silent sentry for over 200 years. As technologies advanced so did Fort Washington, from the brick and stone of the 19th century to the concrete and steel of the 20th century. Joining the National Park Service in 1946, the park continues to protect the Potomac River.",38.7117,-77.0302,"Summers are generally hot and humid, with daytime highs frequently above 90 degrees Fahrenheit and scattered afternoon thunderstorms. Please carry water while participating in physical activity and be prepared to take shelter from lightning. Winters are generally cold, with nighttime lows frequently near freezing and occasional snowfall. Weather during spring and fall is generally moderate, but can change quickly.",,Park
Fossil Butte National Monument,fobu,"In the ridges of southwest Wyoming are some of the best-preserved fossils in the world. They tell the story of ancient life in a warm, wet environment in and around a freshwater lake. Stingrays swam in the lake. Turtles basked in the sun. Leaves rustled in the breeze while early horses darted between the trunks. We reveal more of the past with each fossil found.",41.85635223,-110.7624754,"Expect a variety of weather conditions no matter what time of year you visit. Spring, fall and winter can be very cold with snow and icy conditions. In spring, daytime temperatures usually range from 30 F to 65 F. Summer daytime temperatures range from 60 F to 90 F. Fall daytime temperatures range from 45 F to 70 F. Winter daytime temperatures range from -20 F to 30 F.",,National Monument
Frances Perkins National Monument,frpe,"Known as the first woman to hold a presidential cabinet position and the “Woman behind the New Deal,” Frances Perkins championed many labor rights that Americans enjoy today, including safety standards, Social Security, and shorter workweeks. Her impressive career and accomplishments, including as Secretary of Labor, opened the door for other women to hold high government positions.",44.0052,-69.5568,"Spring: Temperatures usually range from 40 F to 70 F. Snow or rain is common. Summer: Temperatures usually range from 70 F to 100 F. Rain and sun are equally common. On very sunny days, be prepared to bring plenty of water - heat exhaustion is a common complaint among park visitors who are unprepared. Fall: Temperatures usually range from 40 F to 70 F. Fall foliage is at its peak around late September. Winter: Temperatures range from -30 F to -10 F. Be prepared with cold weather gear.",,National Monument
Franklin Delano Roosevelt Memorial,frde,These words by President Franklin Delano Roosevelt ushered the United States into World War II and defined what it is to be an American. Stop by this secluded memorial and begin to understand the Roosevelt legacy.,38.88341274,-77.04311542,Washington DC gets to see all four seasons. Humidity will make the temps feel hotter in summer and colder in winter. Spring (March - May) Temp: Average high is 65.5 degrees with a low of 46.5 degrees Summer (June - August) Temp: Average high is 86 degrees with a low of 68.5 degrees Fall (September - November) Temp: Average high is 68 degrees with a low of 51.5 degrees Winter (December - February) Temp: Average high is 45 degrees with a low of 30 degrees (Source: www.usclimatedata.com),,
Frederick Douglass National Historic Site,frdo,"Frederick Douglass spent his life fighting for justice and equality. Born into slavery in 1818, he escaped as a young man and became a leading voice in the abolitionist movement. People everywhere still find inspiration today in his tireless struggle, brilliant words, and inclusive vision of humanity. Douglass's legacy is preserved here at Cedar Hill, where he lived his last 17 years.",38.86298458,-76.98508147,Winter: Temperatures usually range from 30 to 50 F. There is occasional snow. Spring: Temperatures usually range widely from 40 to 70 F. Rain is common. Summer: Temperatures usually range from 70 to 90 F. Humidity is usually high. Be prepared and drink plenty of water. There is a water fountain in the visitor center. Fall: Temperatures usually range widely from 40 to 70 F. Humidity can remain high in the earlier part of the season.,,National Historic Site
Frederick Law Olmsted National Historic Site,frla,"Frederick Law Olmsted (1822-1903) is recognized as the founder of American landscape architecture and the nation's foremost parkmaker. Olmsted moved his home to suburban Boston in 1883 and established the world's first full-scale professional office for the practice of landscape design. During the next century, his sons and successors perpetuated Olmsted's design ideals, philosophy, and influence.",42.32424266,-71.13202567,"Summer: Warm temperatures, average high temperature around 80 degrees Fahrenheit, often with humidity. July and August bring the hottest temperatures. Fall: Cooler temperatures, mean temperatures between 45 and 65 degrees Fahrenheit, sometimes rainy. Peak fall foliage is in mid-October. Winter: Cold, with snow, average low temperature around 25 degrees Fahrenheit. Spring: Cold to cool temperatures, average mean temperatures between 40 and 60 degrees Fahrenheit.",,National Historic Site
Fredericksburg & Spotsylvania National Military Park,frsp,"Fredericksburg, Chancellorsville, Wilderness, and Spotsylvania, this is America's battleground, where the Civil War roared to its bloody climax. No place more vividly reflects the War's tragic cost in all its forms. A town bombarded and looted. Farms large and small ruined. Refugees by the thousands forced into the countryside. More than 85,000 men wounded; 15,000 killed--most in graves unknown.",38.29378,-77.46734,"The regional climate is characterized by mild winters and warm, humid summers. The mean annual temperatures is 56 degrees Fahrenheit. The average summer temperature is 75 degrees Fahrenheit. Daytime highs during the summer can reach the 90s, and nighttime lows are in the lower 60s. Daytime highs in the winter are typically in the upper 40s, and nighttime lows in the middle 20s. Precipitation is well distributed throughout the year, with the minimum amount in August and the maximum in February.",,National Military Park
Freedom Riders National Monument,frri,"In 1961, a small interracial band of “Freedom Riders” challenged discriminatory laws requiring separation of the races in interstate travel. They were attacked by white segregationists, who firebombed the bus. Images of the attack appeared in hundreds of newspapers, shocking the American public and spurring the Federal Government to issue regulations banning segregation in interstate travel.",33.635269165,-85.9064331055,"Temperatures can soar to extremes of heat and humidity in the summer and fall to a damp, wet, cold in the winter. During the summer season visitors should dress in light, comfortable clothing, wear comfortable shoes and use sunscreen. Drink plenty of fluids to maintain hydration. In the spring and fall, visitors should have a light jacket available as temperatures can drop suddenly. Winter temperatures can be unpredictable, ranging from mild to extremely cold",,National Monument
Friendship Hill National Historic Site,frhi,"Albert Gallatin is best remembered for his thirteen year tenure as Secretary of the Treasury during the Jefferson and Madison administrations. In that time he reduced the national debt, purchased the Louisiana Territory and funded the Lewis & Clark exploration. Gallatin's accomplishments and contributions are highlighted at Friendship Hill, his restored country estate.",39.77543423,-79.92504169,"Weather varies considerably within each season. Be prepared with layered clothing. Precipitation is common throughout the year. Spring: Temperatures usually range from 25°F to 70°F. On average, May is the wettest month. Summer: Temperatures usually range from 50°F to 80°F. July is the warmest month. Fall: Temperatures usually range from 30°F to 70°F. Fall foliage is at its peak around mid-October. Winter: Temperatures range from 15°F to 40°F. January is the coldest month.",,National Historic Site
Gates Of The Arctic National Park & Preserve,gaar,"This vast landscape does not contain any roads or trails. Visitors discover intact ecosystems where people have lived with the land for over ten thousand years. Wild rivers meander through glacier-carved valleys, caribou migrate along age-old trails, endless summer light fades into aurora-lit night skies of winter. Virtually unchanged, except by the forces of nature.",67.75961636,-153.2917758,"The climate of Gates of the Arctic National Park & Preserve is generally classified as arctic and sub-arctic, with exceptionally cold winters, relatively mild summers, low annual precipitation, and generally high winds. The weather is influenced by many different systems, and can change rapidly.!!",,National Park & Preserve
Gateway Arch National Park,jeff,"Gateway Arch National Park commemorates President Jefferson’s vision of a continental nation, the individuals and cultural groups who helped shape its history, St. Louis’ role in westward expansion, and Dred and Harriet Scott, who sued for their freedom in the Old Courthouse.",38.6258069,-90.1892508,Normal Daily Mean Temperature (in degrees Fahrenheit)* January - 29.3 February - 33.9 March - 45.1 April - 56.7 May - 66.1 June - 75.4 July - 79.8 August - 77.6 September - 70.2 October - 58.4 November - 46.2 December - 33.9 Average Percent of Days with Sunshine* January - 50% February - 52% March - 54% April - 56% May - 59% June - 66% July - 68% August - 65% September - 63% October - 60% November - 46% December - 53% *Source: National Oceanic and Atmospheric Administration,,National Park
Gateway National Recreation Area,gate,"Spanning 27,000 acres from Sandy Hook in New Jersey to Breezy Point in New York City, the park is both the gateway from the ocean into New York Harbor, and the gateway to the National Park Service for millions of visitors every year. Gateway offers green spaces and beaches alongside historic structures and cultural landscapes. Every day, Gateway is open for you to explore, envision, and enjoy!",40.56536246,-73.9171087,"Gateway National Recreation Area includes several separate land areas spread throughout the New York metropolitan area. The New York area experiences four distinct seasons. Temperatures are moderate in the spring and fall, but range from the high 90's during the summer to snow and sleet in winter.",,National Recreation Area
Gauley River National Recreation Area,gari,"The 25 miles of free-flowing Gauley River and the six miles of the Meadow River pass through scenic gorges and valleys containing a wide variety of natural and cultural features. The Gauley River contains several class V+ rapids, making it one of the most adventurous white water boating rivers in the east.",38.20614947,-81.00420836,"Weather in the Appalachian Mountains can be unpredictable and can change quickly. Always be prepared for the possibility of sudden storms. Weather in the mountains is often cooler and wetter than the surrounding area. On average, the warmest month is July. The maximum average precipitation also occurs in July.",,National Recreation Area
General Grant National Memorial,gegr,"The final resting place of President Ulysses S. Grant and his wife, Julia, is the largest mausoleum in North America. It testifies to a people’s gratitude for the man who ended the bloodiest conflict in American history as Commanding General of the Union Army and then, as President of the United States, strove to heal a nation after a civil war and make rights for all citizens a reality.",40.81332817,-73.96331542,http://forecast.weather.gov/MapClick.php?CityName=New+York&state=NY&site=OKX&lat=40.7198&lon=-73.993#.Vqj8OvkrJlZ,,National Memorial
George Rogers Clark National Historical Park,gero,"The British flag would not be raised above Fort Sackville Feb. 25, 1779. At 10 A.M., the garrison surrendered to American Colonel George Rogers Clark. His American army, aided by French residents of the Illinois country, had marched through freezing floodwaters to gain this victory. The fort’s capture assured United States claims to the frontier, an area nearly as large as the original 13 states.",38.67912659,-87.53545212,"The weather in the area is quite typical for the Midwest. The average temperature for the winter months is in the mid 30s, but the summers can often be hot and humid with temperatures reaching into the 90s.",,National Historical Park
George Washington Birthplace National Monument,gewa,George Washington Birthplace National Monument is located in the Northern Neck of Virginia. It encompasses 551 acres of land where seven generations of the Washington family lived and where George Washington was born in 1732. The park was also central to one of the earliest efforts to memorialize George Washington during the celebration of his bicentennial birth anniversary in 1932.,38.19362603,-76.92079458,George Washington Birthplace can be very warm and humid in the summer months while cold and dry in the winter. Spring and fall are the best seasons to visit.,,National Monument
George Washington Carver National Monument,gwca,"The young child known as the ""Plant Doctor"" tended his secret garden while observing the day-to-day operations of a 19th century farm. Nature and nurture ultimately influenced George on his quest for education to becoming a renowned agricultural scientist, educator, and humanitarian.",36.9871322,-94.35522737,George Washington Carver National Monument is located in southwestern Missouri just outside of Diamond and about 10 miles from Joplin. Summer temperatures generally range from 75-100 degrees with high humidity. Winter temperatures generally range from 0-50 degrees with periods of intermittent freezing.,,National Monument
George Washington Memorial Parkway,gwmp,"The George Washington Memorial Parkway was designed for recreational driving. It links sites that commemorate important episodes in American history and preserve habitat for local wildlife. The parkway and its associated trails provide a scenic place to play and rest in the busy Washington, DC metropolitan area.",38.9628,-77.1495,"Summers on the parkway are generally hot and humid, with daytime highs frequently above 90 degrees Fahrenheit and scattered afternoon thunderstorms. Please carry water while participating in physical activity and be prepared to take shelter from lightning. Winters on the parkway are generally cold, with nighttime lows frequently near freezing and occasional snowfall. Please be alert for snowplows and icy spots on roadways. Weather during spring and fall is generally moderate, but can change quickly.",,Memorial Parkway
Gettysburg National Military Park,gett,"The Battle of Gettysburg was a turning point in the Civil War, the Union victory that ended General Robert E. Lee's second and most ambitious invasion of the North. Often referred to as the ""High Water Mark of the Rebellion"", Gettysburg was the Civil War's bloodiest battle and was also the inspiration for President Abraham Lincoln's immortal ""Gettysburg Address"".",39.81557366,-77.23246758,https://www.nps.gov/gett/planyourvisit/weather.htm,,National Military Park
Gila Cliff Dwellings National Monument,gicl,"For thousands of years, groups of nomads used the caves above Cliff Dweller Creek as temporary shelter. In the late 1200s, people of the agricultural Mogollon (Southern Ancestral Pueblo) culture made it a home. They built rooms, crafted pottery and raised children in the cliff dwellings for one or two generations. By approximately 1300, the Mogollon had moved on, leaving the walls behind.",33.22715258,-108.2706711,"Weather is extremely variable. Summers are usually around 90° F. but approach 100° F. Winters have occasional snow or temperatures near 0° F. Thunderstorms are common in the summer and early fall, usually in the afternoon. https://forecast.weather.gov/MapClick.php?lat=33.2296&lon=-108.2639#.YUX0_SuSmUk",,National Monument
